1	3
2	1
3	3
4	1
5	1
6	3
7	1
8	3
9	3
10	1
11	5
12	5
13	5
14	1
15	3
16	3
17	3
18	1
19	3
20	3
21	2
22	3
23	3
24	3
25	1
26	3
27	3
28	2
29	3
30	1
31	1
32	3
33	3
34	3
35	3
36	3
37	1
38	1
39	3
40	3
41	3
42	1
43	3
44	1
45	1
46	3
47	3
48	1
49	1
50	2
51	3
52	3
53	3
54	3
55	3
56	3
57	1
58	3
59	1
60	3
61	3
62	3
63	3
64	3
65	3
66	3
67	3
68	1
69	3
70	3
71	3
72	4
73	1
74	1
75	3
76	3
77	2
78	2
79	4
80	3
81	3
82	3
83	3
84	4
85	4
86	4
87	4
88	3
89	2
90	3
91	3
92	3
93	3
94	3
95	2
96	3
97	4
98	2
99	3
100	3
101	3
102	3
103	3
104	3
105	3
106	4
107	3
108	1
109	3
110	3
111	2
112	1
113	1
114	3
115	1
116	1
117	2
118	2
119	2
120	2
121	3
122	2
123	2
124	2
125	2
126	2
127	2
128	2
129	2
130	3
131	3
132	3
133	2
134	4
135	3
136	1
137	2
138	2
139	2
140	3
141	3
142	2
143	2
144	2
145	2
146	3
147	3
148	3
149	5
150	2
151	1
152	4
153	3
154	2
155	3
156	3
157	3
158	3
159	2
160	3
161	3
162	2
163	1
164	3
165	1
166	1
167	1
168	3
169	3
170	4
171	4
172	3
173	2
174	2
175	3
176	3
177	2
178	3
179	3
180	3
181	2
182	3
183	2
184	2
185	3
186	1
187	4
188	4
189	3
190	2
191	3
192	3
193	3
194	1
195	3
196	2
197	2
198	2
199	3
200	2
201	3
202	3
203	3
204	2
205	2
206	2
207	2
208	2
209	2
210	2
211	2
212	2
213	2
214	2
215	2
216	2
217	2
218	3
219	3
220	3
221	3
222	2
223	3
224	3
225	3
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	3
246	1
247	1
248	3
249	1
250	2
251	3
252	2
253	1
254	3
255	1
256	1
257	2
258	2
259	3
260	3
261	3
262	1
263	1
264	3
265	2
266	1
267	3
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	2
277	4
278	4
279	1
280	3
281	2
282	2
283	2
284	3
285	2
286	2
287	2
288	1
289	2
290	1
291	1
292	2
293	4
294	4
295	4
296	1
297	1
298	2
299	1
300	3
301	4
302	1
303	1
304	1
305	1
306	3
307	3
308	2
309	1
310	1
311	1
312	1
313	1
314	3
315	3
316	1
317	1
318	1
319	1
320	2
321	2
322	2
323	3
324	2
325	2
326	1
327	3
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	3
340	1
341	1
342	1
343	3
344	3
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	3
356	3
357	3
358	3
359	3
360	1
361	1
362	1
363	1
364	1
365	3
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	2
377	2
378	3
379	2
380	1
381	1
382	2
383	2
384	2
385	2
386	2
387	3
388	1
389	3
390	3
391	2
392	2
393	3
394	3
395	3
396	4
397	2
398	3
399	4
400	3
401	4
402	4
403	3
404	3
405	1
406	1
407	3
408	3
409	3
410	1
411	3
412	1
413	3
414	2
415	3
416	1
417	3
418	1
419	3
420	2
421	2
422	3
423	4
424	3
425	2
426	2
427	3
428	3
429	2
430	3
431	3
432	3
433	3
434	3
435	3
436	3
437	3
438	3
439	2
440	3
441	3
442	5
443	5
444	5
445	3
446	3
447	3
448	3
449	3
450	3
451	3
452	3
453	3
454	3
455	2
456	3
457	3
458	3
459	3
460	3
461	2
462	3
463	3
464	3
465	3
466	3
467	3
468	3
469	3
470	3
471	3
472	2
473	3
474	3
475	3
476	3
477	3
478	2
479	2
480	2
481	2
482	2
483	3
484	2
485	2
486	3
487	2
488	2
489	2
490	3
491	3
492	3
493	3
494	3
495	3
496	3
497	3
498	3
499	3
500	3
501	3
502	1
503	3
504	2
505	2
506	2
507	2
508	2
509	2
510	2
511	2
512	2
513	2
514	2
515	2
516	2
517	2
518	2
519	2
520	2
521	2
522	2
523	2
524	2
525	2
526	3
527	2
